frequency_THz,Absoprtion,Parameter_Value,Parameter_g,Parameter_r,Parameter_md,Parameter_a
3,0.052991395,1.75,1,0,0,0
3.0035,0.053928905,1.75,1,0,0,0
3.008,0.054895507,1.75,1,0,0,0
3.0125,0.055882786,1.75,1,0,0,0
3.017,0.056903502,1.75,1,0,0,0
3.0215,0.057957661,1.75,1,0,0,0
3.026,0.059043855,1.75,1,0,0,0
3.0305,0.060163417,1.75,1,0,0,0
3.035,0.061317756,1.75,1,0,0,0
3.0395,0.062508322,1.75,1,0,0,0
3.044,0.063736618,1.75,1,0,0,0
3.0485,0.065004216,1.75,1,0,0,0
3.053,0.066312762,1.75,1,0,0,0
3.0546875,0.066814373,1.75,1,0,0,0
3.0575,0.067663983,1.75,1,0,0,0
3.062,0.069059693,1.75,1,0,0,0
3.0665,0.070501799,1.75,1,0,0,0
3.071,0.071992307,1.75,1,0,0,0
3.0755,0.073533326,1.75,1,0,0,0
3.08,0.075127078,1.75,1,0,0,0
3.0845,0.076775902,1.75,1,0,0,0
3.089,0.078482262,1.75,1,0,0,0
3.0935,0.080248756,1.75,1,0,0,0
3.098,0.082078122,1.75,1,0,0,0
3.1025,0.08397325,1.75,1,0,0,0
3.107,0.085937189,1.75,1,0,0,0
3.1115,0.087973156,1.75,1,0,0,0
3.116,0.09008455,1.75,1,0,0,0
3.1205,0.092274959,1.75,1,0,0,0
3.125,0.094548174,1.75,1,0,0,0
3.1295,0.096908198,1.75,1,0,0,0
3.134,0.099359261,1.75,1,0,0,0
3.1385,0.10190583,1.75,1,0,0,0
3.143,0.10455261,1.75,1,0,0,0
3.1475,0.10730458,1.75,1,0,0,0
3.152,0.11016704,1.75,1,0,0,0
3.1565,0.11314563,1.75,1,0,0,0
3.161,0.11624642,1.75,1,0,0,0
3.1655,0.11947589,1.75,1,0,0,0
3.17,0.12284088,1.75,1,0,0,0
3.1745,0.1263486,1.75,1,0,0,0
3.179,0.13000663,1.75,1,0,0,0
3.1835,0.13382299,1.75,1,0,0,0
3.188,0.1378062,1.75,1,0,0,0
3.1925,0.14196531,1.75,1,0,0,0
3.197,0.14630997,1.75,1,0,0,0
3.2015,0.1508504,1.75,1,0,0,0
3.204875,0.15439073,1.75,1,0,0,0
3.206,0.15559749,1.75,1,0,0,0
3.2105,0.16056281,1.75,1,0,0,0
3.215,0.16575864,1.75,1,0,0,0
3.2195,0.17119803,1.75,1,0,0,0
3.224,0.17689485,1.75,1,0,0,0
3.2285,0.18286382,1.75,1,0,0,0
3.233,0.18912054,1.75,1,0,0,0
3.2375,0.19568159,1.75,1,0,0,0
3.242,0.20256452,1.75,1,0,0,0
3.2465,0.20978792,1.75,1,0,0,0
3.251,0.21737147,1.75,1,0,0,0
3.2555,0.22533595,1.75,1,0,0,0
3.26,0.23370331,1.75,1,0,0,0
3.2645,0.24249666,1.75,1,0,0,0
3.269,0.25174027,1.75,1,0,0,0
3.2735,0.26145965,1.75,1,0,0,0
3.278,0.27168141,1.75,1,0,0,0
3.2825,0.28243333,1.75,1,0,0,0
3.28475,0.28801706,1.75,1,0,0,0
3.287,0.2937442,1.75,1,0,0,0
3.2915,0.30564377,1.75,1,0,0,0
3.296,0.31816255,1.75,1,0,0,0
3.3005,0.33133164,1.75,1,0,0,0
3.305,0.34518243,1.75,1,0,0,0
3.3095,0.35974626,1.75,1,0,0,0
3.314,0.37505395,1.75,1,0,0,0
3.3185,0.39113526,1.75,1,0,0,0
3.323,0.40801818,1.75,1,0,0,0
3.3246875,0.41456123,1.75,1,0,0,0
3.3275,0.42572812,1.75,1,0,0,0
3.332,0.44428688,1.75,1,0,0,0
3.3365,0.46371144,1.75,1,0,0,0
3.341,0.48401259,1.75,1,0,0,0
3.3455,0.50519328,1.75,1,0,0,0
3.35,0.52724675,1.75,1,0,0,0
3.3545,0.55015447,1.75,1,0,0,0
3.359,0.57388383,1.75,1,0,0,0
3.3635,0.59838564,1.75,1,0,0,0
3.364625,0.60462424,1.75,1,0,0,0
3.368,0.62359155,1.75,1,0,0,0
3.3725,0.64941143,1.75,1,0,0,0
3.377,0.67573079,1.75,1,0,0,0
3.3815,0.70240858,1.75,1,0,0,0
3.386,0.72927531,1.75,1,0,0,0
3.3905,0.75613199,1.75,1,0,0,0
3.395,0.78275001,1.75,1,0,0,0
3.3995,0.80887233,1.75,1,0,0,0
3.404,0.83421641,1.75,1,0,0,0
3.4045625,0.83731477,1.75,1,0,0,0
3.4085,0.85847864,1.75,1,0,0,0
3.413,0.88134064,1.75,1,0,0,0
3.4175,0.90247754,1.75,1,0,0,0
3.422,0.92156779,1.75,1,0,0,0
3.4245312,0.93129022,1.75,1,0,0,0
3.4265,0.93830366,1.75,1,0,0,0
3.431,0.95240325,1.75,1,0,0,0
3.4355,0.9636226,1.75,1,0,0,0
3.44,0.97176641,1.75,1,0,0,0
3.4445,0.97669694,1.75,1,0,0,0
3.449,0.97834036,1.75,1,0,0,0
3.4535,0.97668898,1.75,1,0,0,0
3.458,0.97180997,1.75,1,0,0,0
3.4596875,0.96916845,1.75,1,0,0,0
3.4625,0.96381782,1.75,1,0,0,0
3.467,0.95289879,1.75,1,0,0,0
3.4715,0.93928152,1.75,1,0,0,0
3.474875,0.92745709,1.75,1,0,0,0
3.476,0.92323253,1.75,1,0,0,0
3.4805,0.90504451,1.75,1,0,0,0
3.485,0.88502491,1.75,1,0,0,0
3.4895,0.86348542,1.75,1,0,0,0
3.494,0.84073259,1.75,1,0,0,0
3.4985,0.81706004,1.75,1,0,0,0
3.503,0.79274236,1.75,1,0,0,0
3.50525,0.7804211,1.75,1,0,0,0
3.5075,0.76803078,1.75,1,0,0,0
3.512,0.74315042,1.75,1,0,0,0
3.5165,0.71829903,1.75,1,0,0,0
3.521,0.6936469,1.75,1,0,0,0
3.5255,0.66933771,1.75,1,0,0,0
3.53,0.64549011,1.75,1,0,0,0
3.5345,0.62219969,1.75,1,0,0,0
3.539,0.59954127,1.75,1,0,0,0
3.5435,0.57757127,1.75,1,0,0,0
3.548,0.55633008,1.75,1,0,0,0
3.5525,0.53584431,1.75,1,0,0,0
3.557,0.51612895,1.75,1,0,0,0
3.5615,0.49718927,1.75,1,0,0,0
3.566,0.47902257,1.75,1,0,0,0
3.5705,0.46161972,1.75,1,0,0,0
3.575,0.44496644,1.75,1,0,0,0
3.5795,0.42904452,1.75,1,0,0,0
3.584,0.41383276,1.75,1,0,0,0
3.5885,0.39930777,1.75,1,0,0,0
3.593,0.38544469,1.75,1,0,0,0
3.5975,0.37221771,1.75,1,0,0,0
3.602,0.35960055,1.75,1,0,0,0
3.6065,0.34756682,1.75,1,0,0,0
3.611,0.33609031,1.75,1,0,0,0
3.6155,0.32514521,1.75,1,0,0,0
3.62,0.31470633,1.75,1,0,0,0
3.6245,0.30474916,1.75,1,0,0,0
3.62675,0.29994378,1.75,1,0,0,0
3.629,0.29525003,1.75,1,0,0,0
3.6335,0.28618613,1.75,1,0,0,0
3.638,0.2775356,1.75,1,0,0,0
3.6425,0.26927751,1.75,1,0,0,0
3.647,0.26139188,1.75,1,0,0,0
3.6515,0.25385968,1.75,1,0,0,0
3.656,0.24666284,1.75,1,0,0,0
3.6605,0.23978415,1.75,1,0,0,0
3.665,0.23320735,1.75,1,0,0,0
3.6695,0.22691698,1.75,1,0,0,0
3.674,0.22089844,1.75,1,0,0,0
3.6785,0.2151379,1.75,1,0,0,0
3.683,0.20962229,1.75,1,0,0,0
3.6875,0.20433926,1.75,1,0,0,0
3.692,0.19927713,1.75,1,0,0,0
3.6965,0.19442488,1.75,1,0,0,0
3.701,0.1897721,1.75,1,0,0,0
3.7055,0.18530895,1.75,1,0,0,0
3.71,0.18102614,1.75,1,0,0,0
3.7145,0.17691491,1.75,1,0,0,0
3.719,0.17296697,1.75,1,0,0,0
3.7235,0.1691745,1.75,1,0,0,0
3.728,0.1655301,1.75,1,0,0,0
3.7325,0.16202681,1.75,1,0,0,0
3.737,0.15865801,1.75,1,0,0,0
3.7415,0.15541747,1.75,1,0,0,0
3.746,0.1522993,1.75,1,0,0,0
3.7505,0.14929791,1.75,1,0,0,0
3.755,0.14640803,1.75,1,0,0,0
3.7578125,0.14465626,1.75,1,0,0,0
3.7595,0.14362468,1.75,1,0,0,0
3.764,0.14094312,1.75,1,0,0,0
3.7685,0.13835888,1.75,1,0,0,0
3.773,0.13586772,1.75,1,0,0,0
3.7775,0.13346564,1.75,1,0,0,0
3.782,0.13114882,1.75,1,0,0,0
3.7865,0.12891366,1.75,1,0,0,0
3.791,0.12675673,1.75,1,0,0,0
3.7955,0.1246748,1.75,1,0,0,0
3.8,0.12266479,1.75,1,0,0,0
3.8045,0.12072376,1.75,1,0,0,0
3.809,0.11884895,1.75,1,0,0,0
3.8135,0.11703771,1.75,1,0,0,0
3.818,0.11528754,1.75,1,0,0,0
3.8225,0.11359606,1.75,1,0,0,0
3.827,0.111961,1.75,1,0,0,0
3.828125,0.1115608,1.75,1,0,0,0
3.8315,0.11038021,1.75,1,0,0,0
3.836,0.10885163,1.75,1,0,0,0
3.8405,0.10737331,1.75,1,0,0,0
3.845,0.1059434,1.75,1,0,0,0
3.8495,0.10456012,1.75,1,0,0,0
3.854,0.10322179,1.75,1,0,0,0
3.8585,0.1019268,1.75,1,0,0,0
3.863,0.10067362,1.75,1,0,0,0
3.8675,0.099460789,1.75,1,0,0,0
3.872,0.098286909,1.75,1,0,0,0
3.8765,0.097150651,1.75,1,0,0,0
3.881,0.096050746,1.75,1,0,0,0
3.8855,0.09498598,1.75,1,0,0,0
3.89,0.093955194,1.75,1,0,0,0
3.8945,0.092957279,1.75,1,0,0,0
3.8984375,0.092110238,1.75,1,0,0,0
3.899,0.09199118,1.75,1,0,0,0
3.9035,0.091055887,1.75,1,0,0,0
3.908,0.090150438,1.75,1,0,0,0
3.9125,0.089273915,1.75,1,0,0,0
3.917,0.088425444,1.75,1,0,0,0
3.9215,0.087604189,1.75,1,0,0,0
3.926,0.08680935,1.75,1,0,0,0
3.9305,0.08604016,1.75,1,0,0,0
3.935,0.085295885,1.75,1,0,0,0
3.9395,0.084575821,1.75,1,0,0,0
3.944,0.083879294,1.75,1,0,0,0
3.9485,0.08320566,1.75,1,0,0,0
3.953,0.0825543,1.75,1,0,0,0
3.9575,0.081924625,1.75,1,0,0,0
3.962,0.08131607,1.75,1,0,0,0
3.9665,0.080728093,1.75,1,0,0,0
3.96875,0.080441659,1.75,1,0,0,0
3.971,0.080160178,1.75,1,0,0,0
3.9755,0.079611831,1.75,1,0,0,0
3.98,0.079082578,1.75,1,0,0,0
3.9845,0.078571968,1.75,1,0,0,0
3.989,0.078079568,1.75,1,0,0,0
3.9935,0.077604966,1.75,1,0,0,0
3.998,0.077147766,1.75,1,0,0,0
4.0025,0.076707592,1.75,1,0,0,0
4.007,0.076284084,1.75,1,0,0,0
4.0115,0.075876898,1.75,1,0,0,0
4.016,0.075485706,1.75,1,0,0,0
4.0205,0.075110196,1.75,1,0,0,0
4.025,0.074750068,1.75,1,0,0,0
4.0295,0.074405041,1.75,1,0,0,0
4.034,0.074074843,1.75,1,0,0,0
4.0385,0.073759217,1.75,1,0,0,0
4.0390625,0.073720776,1.75,1,0,0,0
4.043,0.073457919,1.75,1,0,0,0
4.0475,0.073170718,1.75,1,0,0,0
4.052,0.072897394,1.75,1,0,0,0
4.0565,0.072637738,1.75,1,0,0,0
4.061,0.072391555,1.75,1,0,0,0
4.0655,0.072158657,1.75,1,0,0,0
4.07,0.071938871,1.75,1,0,0,0
4.0745,0.071732033,1.75,1,0,0,0
4.079,0.071537987,1.75,1,0,0,0
4.0835,0.071356589,1.75,1,0,0,0
4.088,0.071187705,1.75,1,0,0,0
4.0925,0.071031211,1.75,1,0,0,0
4.097,0.07088699,1.75,1,0,0,0
4.1015,0.070754937,1.75,1,0,0,0
4.106,0.070634954,1.75,1,0,0,0
4.109375,0.070552834,1.75,1,0,0,0
4.1105,0.070526952,1.75,1,0,0,0
4.115,0.070430854,1.75,1,0,0,0
4.1195,0.070346588,1.75,1,0,0,0
4.124,0.070274092,1.75,1,0,0,0
4.1285,0.070213313,1.75,1,0,0,0
4.133,0.070164206,1.75,1,0,0,0
4.1375,0.070126735,1.75,1,0,0,0
4.142,0.070100873,1.75,1,0,0,0
4.1465,0.0700866,1.75,1,0,0,0
4.151,0.070083905,1.75,1,0,0,0
4.1555,0.070092786,1.75,1,0,0,0
4.16,0.070113248,1.75,1,0,0,0
4.1645,0.070145306,1.75,1,0,0,0
4.169,0.070188981,1.75,1,0,0,0
4.1735,0.070244304,1.75,1,0,0,0
4.178,0.070311313,1.75,1,0,0,0
4.1825,0.070390054,1.75,1,0,0,0
4.187,0.07048058,1.75,1,0,0,0
4.1915,0.070582954,1.75,1,0,0,0
4.196,0.070697244,1.75,1,0,0,0
4.2005,0.070823528,1.75,1,0,0,0
4.205,0.07096189,1.75,1,0,0,0
4.2095,0.071112424,1.75,1,0,0,0
4.214,0.071275231,1.75,1,0,0,0
4.2185,0.071450421,1.75,1,0,0,0
4.223,0.071638112,1.75,1,0,0,0
4.2275,0.071838432,1.75,1,0,0,0
4.232,0.072051518,1.75,1,0,0,0
4.2365,0.072277516,1.75,1,0,0,0
4.241,0.072516585,1.75,1,0,0,0
4.2455,0.072768891,1.75,1,0,0,0
4.25,0.073034612,1.75,1,0,0,0
4.2545,0.073313937,1.75,1,0,0,0
4.259,0.073607066,1.75,1,0,0,0
4.2635,0.073914212,1.75,1,0,0,0
4.268,0.074235597,1.75,1,0,0,0
4.2725,0.074571458,1.75,1,0,0,0
4.277,0.074922044,1.75,1,0,0,0
4.2815,0.075287615,1.75,1,0,0,0
4.286,0.075668447,1.75,1,0,0,0
4.2905,0.076064827,1.75,1,0,0,0
4.295,0.076477059,1.75,1,0,0,0
4.2995,0.076905459,1.75,1,0,0,0
4.304,0.077350359,1.75,1,0,0,0
4.3085,0.077812108,1.75,1,0,0,0
4.313,0.07829107,1.75,1,0,0,0
4.3175,0.078787624,1.75,1,0,0,0
4.3203125,0.07910708,1.75,1,0,0,0
4.322,0.079302169,1.75,1,0,0,0
4.3265,0.079835122,1.75,1,0,0,0
4.331,0.080386917,1.75,1,0,0,0
4.3355,0.080958008,1.75,1,0,0,0
4.34,0.081548871,1.75,1,0,0,0
4.3445,0.082160001,1.75,1,0,0,0
4.349,0.082791914,1.75,1,0,0,0
4.3535,0.083445153,1.75,1,0,0,0
4.358,0.084120279,1.75,1,0,0,0
4.3625,0.084817882,1.75,1,0,0,0
4.367,0.085538573,1.75,1,0,0,0
4.3715,0.086282992,1.75,1,0,0,0
4.376,0.087051803,1.75,1,0,0,0
4.3805,0.087845695,1.75,1,0,0,0
4.385,0.088665385,1.75,1,0,0,0
4.3895,0.089511612,1.75,1,0,0,0
4.390625,0.089727405,1.75,1,0,0,0
4.394,0.090385143,1.75,1,0,0,0
4.3985,0.091286769,1.75,1,0,0,0
4.403,0.092217322,1.75,1,0,0,0
4.4075,0.093177681,1.75,1,0,0,0
4.412,0.0941688,1.75,1,0,0,0
4.4165,0.095191721,1.75,1,0,0,0
4.421,0.096247566,1.75,1,0,0,0
4.4255,0.097337509,1.75,1,0,0,0
4.43,0.098462751,1.75,1,0,0,0
4.4345,0.099624503,1.75,1,0,0,0
4.439,0.100824,1.75,1,0,0,0
4.4435,0.10206252,1.75,1,0,0,0
4.448,0.10334139,1.75,1,0,0,0
4.4525,0.10466201,1.75,1,0,0,0
4.457,0.10602584,1.75,1,0,0,0
4.4609375,0.10725584,1.75,1,0,0,0
4.4615,0.10743441,1.75,1,0,0,0
4.466,0.10888936,1.75,1,0,0,0
4.4705,0.11039238,1.75,1,0,0,0
4.475,0.11194526,1.75,1,0,0,0
4.4795,0.11354986,1.75,1,0,0,0
4.484,0.11520816,1.75,1,0,0,0
4.4885,0.1169222,1.75,1,0,0,0
4.493,0.11869416,1.75,1,0,0,0
4.4975,0.12052631,1.75,1,0,0,0
4.502,0.12242101,1.75,1,0,0,0
4.5065,0.12438079,1.75,1,0,0,0
4.511,0.12640825,1.75,1,0,0,0
4.5155,0.12850617,1.75,1,0,0,0
4.52,0.13067743,1.75,1,0,0,0
